congress,chamber,rollnumber,icpsr,cast_code,prob
117,House,2,29339.0,1,
117,House,2,29346.0,1,
117,House,2,29368.0,1,
117,House,2,29377.0,1,
117,House,2,29378.0,9,
117,House,2,29379.0,1,
117,House,2,29393.0,1,
117,House,2,29504.0,1,
117,House,2,29550.0,1,
117,House,2,29561.0,9,
117,House,2,29571.0,1,
117,House,2,29573.0,1,
117,House,2,29588.0,1,
117,House,2,29701.0,1,
117,House,2,29707.0,9,
117,House,2,29710.0,1,
117,House,2,29717.0,1,
117,House,2,29729.0,1,
117,House,2,29741.0,1,
117,House,2,29759.0,1,
117,House,2,29760.0,9,
117,House,2,29762.0,1,
117,House,2,29768.0,1,
117,House,2,29769.0,1,
117,House,2,29776.0,1,
117,House,2,29778.0,1,
117,House,2,29901.0,1,
117,House,2,29903.0,1,
117,House,2,29908.0,1,
117,House,2,29910.0,1,
117,House,2,29911.0,1,
117,House,2,31101.0,1,
117,House,2,31102.0,1,
117,House,2,31103.0,9,
117,House,2,39301.0,1,
117,House,2,39305.0,1,
117,House,2,39307.0,9,
117,House,2,91980.0,1,
117,House,3,14066.0,9,99.9
117,House,3,14854.0,6,100.0
117,House,3,14863.0,6,98.4
117,House,3,14873.0,1,100.0
117,House,3,15019.0,1,99.2
117,House,3,15029.0,1,100.0
117,House,3,15410.0,1,100.0
117,House,3,15433.0,1,100.0
117,House,3,15438.0,1,100.0
117,House,3,15446.0,6,100.0
117,House,3,15454.0,1,100.0
117,House,3,15616.0,1,100.0
117,House,3,20104.0,1,100.0
117,House,3,20107.0,6,100.0
117,House,3,20119.0,1,100.0
117,House,3,20122.0,1,100.0
117,House,3,20124.0,6,100.0
117,House,3,20136.0,1,100.0
117,House,3,20138.0,6,100.0
117,House,3,20145.0,1,100.0
117,House,3,20301.0,6,100.0
117,House,3,20305.0,1,100.0
117,House,3,20307.0,6,100.0
117,House,3,20310.0,1,100.0
117,House,3,20316.0,6,99.9
